player,division,ppg,rpg,apg,blk,stl
LeBron James,East,27.1,7.9,6.2,0.81,1.85
Kevin Durant,West,28,8,3.5,1.17,1.33
Dwight Howard,East,20.6,14.5,1.9,2.15,1.5
Christ Paul,West,19.8,3.6,9.1,0.07,2.53
Derrick Rose,East,21.8,3.4,7.9,0.72,0.9
Kobe Bryant,West,27.9,5.4,4.6,0.31,1.19
Kevin Love,West,26,13.3,2,0.51,0.85
Dwyane Wade,East,22.1,4.6,4.8,1.29,1.67
Russell Westbrook,West,23.6,4.6,5.5,0.3,1.7
Deron Williams,East,21,3.3,8.7,0.36,1.22
Dirk Nowitzki,West,21.6,6.7,2.2,0.48,0.68
Rajon Rondo,East,11.9,4.9,11.7,0.06,1.79
Andrew Bynum,West,18.7,11.8,1.4,1.93,0.45
Blake Griffin,West,20.7,10.9,3.2,0.73,0.82
Pau Gasol,West,17.4,10.4,3.7,1.35,0.57
Tony Parker,West,18.3,2.9,7.7,0.08,0.95
Carmelo Anthony,East,22.6,6.3,3.6,0.44,1.13
Chris Bosh,East,18,7.9,1.8,0.79,0.89
Steve Nash,West,12.5,3,10.7,0.13,0.61
LaMarcus Aldridge,West,21.7,8,2.4,0.82,0.93
Kevin Garnett,East,15.8,8.2,2.9,1.02,0.93
Kyrie Irving,East,18.5,3.7,5.4,0.39,1.06
Tyson Chandler,East,11.3,9.9,0.9,1.4,0.9
Marc Gasol,West,14.6,8.9,3.1,1.86,0.95
Manu Ginobili,West,12.9,3.4,4.4,0.35,0.71
