Date,Quantity,Monetary,Amount,Index,Updown
 105/01/04,3828317506.00 ,77036676791.00 ,823702.00 ,8114.26 ,(223.80)
 105/01/05,4174711678.00 ,80349248930.00 ,835646.00 ,8075.11 ,(39.15)
 105/01/06,4862380750.00 ,99143623931.00 ,944604.00 ,7990.39 ,(84.72)
 105/01/07,5920713736.00 ,117577039714.00 ,1151598.00 ,7852.06 ,(138.33)
 105/01/08,4534181205.00 ,92853774729.00 ,859799.00 ,7893.97 ,41.91 
 105/01/11,4324346686.00 ,85321943005.00 ,864273.00 ,7788.42 ,(105.55)
 105/01/12,4774778088.00 ,86552474918.00 ,878969.00 ,7768.45 ,(19.97)
 105/01/13,4191855350.00 ,76588652185.00 ,785161.00 ,7824.61 ,56.16 
 105/01/14,4276900082.00 ,81779081768.00 ,843642.00 ,7742.88 ,(81.73)
 105/01/15,4228452132.00 ,90430983043.00 ,834866.00 ,7762.01 ,19.13 
 105/01/18,4556531786.00 ,81693572616.00 ,899532.00 ,7811.18 ,49.17 
 105/01/19,4401843015.00 ,74328444326.00 ,777581.00 ,7854.88 ,43.70 
 105/01/20,4995793415.00 ,89909264962.00 ,934145.00 ,7699.12 ,(155.76)
 105/01/21,4228018052.00 ,73757813283.00 ,766878.00 ,7664.01 ,(35.11)
 105/01/22,3770515717.00 ,69411719214.00 ,735234.00 ,7756.18 ,92.17 
 105/01/25,3916387295.00 ,69661237574.00 ,721242.00 ,7894.15 ,137.97 
 105/01/26,3725690246.00 ,62349440613.00 ,663929.00 ,7828.67 ,(65.48)
 105/01/27,3921538073.00 ,70341506723.00 ,704137.00 ,7849.83 ,21.16 
 105/01/28,4225736859.00 ,79651114076.00 ,757225.00 ,7905.10 ,55.27 
 105/01/29,5887199015.00 ,113463518980.00 ,991000.00 ,8080.60 ,175.50 
 105/01/30,4060926553.00 ,62496769696.00 ,667653.00 ,8145.21 ,64.61 
 105/02/01,4146109539.00 ,84881639979.00 ,810788.00 ,8156.96 ,11.75 
 105/02/02,3578769995.00 ,73811790035.00 ,762146.00 ,8131.24 ,(25.72)
 105/02/03,3340620656.00 ,78552943082.00 ,756916.00 ,8063.00 ,(68.24)
 105/02/15,3701233391.00 ,89049265308.00 ,835099.00 ,8066.51 ,3.51 
 105/02/16,4888935526.00 ,92274426133.00 ,895472.00 ,8212.07 ,145.56 
 105/02/17,4533522300.00 ,84973308024.00 ,877108.00 ,8214.25 ,2.18 
 105/02/18,4700434888.00 ,96306906424.00 ,908282.00 ,8314.67 ,100.42 
 105/02/19,3786260216.00 ,76763583732.00 ,796911.00 ,8325.04 ,10.37 
 105/02/22,4117476850.00 ,76666061454.00 ,788522.00 ,8326.68 ,1.64 
 105/02/23,4282835270.00 ,79158782479.00 ,834103.00 ,8334.64 ,7.96 
 105/02/24,4172001674.00 ,72921321301.00 ,818928.00 ,8282.86 ,(51.78)
 105/02/25,4825333703.00 ,85369873858.00 ,893624.00 ,8365.86 ,83.00 
 105/02/26,4192508108.00 ,84825115511.00 ,814436.00 ,8411.16 ,45.30 
105/03/01,4344172230.00 ,93076019508.00 ,914162.00 ,8485.69 ,74.53 
105/03/02,5383933146.00 ,101503867237.00 ,1022407.00 ,8544.05 ,58.36 
105/03/03,5585659656.00 ,101457411076.00 ,1058220.00 ,8611.79 ,67.74 
105/03/04,4963184767.00 ,95177431173.00 ,1002782.00 ,8643.55 ,31.76 
105/03/07,4985069930.00 ,97317441753.00 ,1044138.00 ,8659.55 ,16.00 
105/03/08,5752490488.00 ,107338379721.00 ,1118305.00 ,8664.31 ,4.76 
105/03/09,4873667413.00 ,87722074364.00 ,924681.00 ,8634.11 ,(30.20)
105/03/10,4847234890.00 ,86979509559.00 ,912645.00 ,8660.70 ,26.59 
105/03/11,4696453516.00 ,89618730648.00 ,932516.00 ,8706.14 ,45.44 
105/03/14,4958111936.00 ,100745050581.00 ,1001609.00 ,8747.90 ,41.76 
105/03/15,5749788495.00 ,116596382075.00 ,1152022.00 ,8611.18 ,(136.72)
105/03/16,4940468348.00 ,95303426426.00 ,931278.00 ,8699.14 ,87.96 
105/03/17,5640225790.00 ,110428671229.00 ,1069422.00 ,8734.54 ,35.40 
105/03/18,5058056953.00 ,118470664453.00 ,980140.00 ,8810.71 ,76.17 
105/03/21,4189171268.00 ,83602377454.00 ,828164.00 ,8812.70 ,1.99 
105/03/22,4537521519.00 ,87909107741.00 ,896141.00 ,8785.68 ,(27.02)
105/03/23,4146764067.00 ,83001864735.00 ,841520.00 ,8766.09 ,(19.59)
105/03/24,4332890552.00 ,81028032418.00 ,828433.00 ,8743.38 ,(22.71)
105/03/25,3480063136.00 ,66971897265.00 ,668084.00 ,8704.97 ,(38.41)
105/03/28,3632554168.00 ,69405830918.00 ,707968.00 ,8690.45 ,(14.52)
105/03/29,4336733399.00 ,80354222855.00 ,863621.00 ,8617.35 ,(73.10)
105/03/30,4449258360.00 ,89188136871.00 ,850273.00 ,8737.04 ,119.69 
105/03/31,4483580039.00 ,96143315403.00 ,841211.00 ,8744.83 ,7.79 
105/04/01,3512441617.00 ,74436466179.00 ,734759.00 ,8657.55 ,(87.28)
105/04/06,4263805995.00 ,99649801435.00 ,948232.00 ,8513.30 ,(144.25)
105/04/07,4325190072.00 ,85012242354.00 ,837480.00 ,8490.25 ,(23.05)
105/04/08,4047158746.00 ,78914261945.00 ,783411.00 ,8541.50 ,51.25 
105/04/11,3619493831.00 ,68897768432.00 ,705570.00 ,8562.59 ,21.09 
105/04/12,4271104168.00 ,83753452252.00 ,844879.00 ,8531.18 ,(31.41)
105/04/13,4800753162.00 ,92382932263.00 ,855055.00 ,8652.08 ,120.90 
105/04/14,4320339298.00 ,82203414897.00 ,787098.00 ,8667.71 ,15.63 
105/04/15,3728792198.00 ,79717512268.00 ,755854.00 ,8700.39 ,32.68 
105/04/18,3363499191.00 ,65051346748.00 ,665225.00 ,8666.01 ,(34.38)
105/04/19,4134113610.00 ,81358438759.00 ,767518.00 ,8633.72 ,(32.29)
105/04/20,4810411902.00 ,96785720810.00 ,966647.00 ,8514.48 ,(119.24)
105/04/21,3914269493.00 ,75973585587.00 ,760525.00 ,8568.65 ,54.17 
105/04/22,3830670213.00 ,79070599556.00 ,792676.00 ,8535.75 ,(32.90)
105/04/25,2931595283.00 ,56182234555.00 ,562358.00 ,8560.28 ,24.53 
105/04/26,3346481055.00 ,62262529206.00 ,620548.00 ,8581.57 ,21.29 
105/04/27,3487759816.00 ,68796176444.00 ,632097.00 ,8563.05 ,(18.52)
105/04/28,3924535612.00 ,75136632590.00 ,717887.00 ,8473.87 ,(89.18)
105/04/29,3580008782.00 ,79542764433.00 ,724482.00 ,8377.90 ,(95.97)
105/05/03,3754668499.00 ,79541801189.00 ,728436.00 ,8294.12 ,(83.78)
105/05/04,4149875379.00 ,82399462988.00 ,816079.00 ,8185.47 ,(108.65)
