A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,B1,B2,B3,B4,B5,C1,C2,C3,C4,D1,D2,D3,D4
56.22 ,192.38 ,134.23 ,2.06 ,0.92 ,0.41 ,-12.74 ,1299017.00 ,0.11 ,99.85 ,861.00 ,8.00 ,7.00 ,36.00 ,59.50 ,21.00 ,43.90 ,100.00 ,63.59 ,0.00 ,49.14 ,109.31 ,-25.90 
34.58 ,254.04 ,202.52 ,1.49 ,1.46 ,3.52 ,2.24 ,5110452.00 ,0.24 ,62.63 ,634.00 ,58.00 ,3.00 ,34.00 ,18.50 ,25.00 ,33.40 ,99.50 ,91.12 ,0.00 ,22.40 ,28.26 ,38.47 
17.32 ,398.56 ,341.48 ,1.60 ,1.73 ,1.48 ,39.18 ,1369489.00 ,0.20 ,52.76 ,562.00 ,6.00 ,6.00 ,36.00 ,18.00 ,19.00 ,14.40 ,29.30 ,48.04 ,55.20 ,16.88 ,23.75 ,30.64 
16.20 ,461.20 ,455.37 ,2.61 ,0.81 ,6.51 ,13.76 ,1414918.00 ,0.21 ,113.80 ,318.00 ,2.00 ,5.00 ,37.00 ,6.00 ,9.00 ,26.10 ,100.00 ,50.00 ,33.37 ,7.64 ,12.52 ,44.16 
11.91 ,385.47 ,409.30 ,1.45 ,1.43 ,9.20 ,9.54 ,1050400.00 ,0.15 ,64.97 ,532.00 ,7.00 ,5.00 ,36.00 ,4.00 ,6.00 ,38.50 ,38.50 ,37.66 ,110.39 ,15.88 ,28.84 ,97.00 
37.73 ,179.81 ,183.80 ,0.96 ,2.22 ,4.73 ,7.28 ,7921182.00 ,0.25 ,41.32 ,1268.00 ,9.00 ,4.00 ,34.00 ,48.50 ,8.00 ,28.70 ,80.30 ,74.63 ,709.15 ,10.51 ,14.15 ,42.51 
19.73 ,255.43 ,253.51 ,1.50 ,2.14 ,1.56 ,16.48 ,1476463.00 ,0.20 ,42.57 ,738.00 ,8.00 ,5.00 ,36.00 ,14.00 ,10.00 ,38.80 ,67.70 ,44.62 ,170.76 ,21.69 ,32.18 ,7.48 
17.95 ,347.23 ,392.27 ,3.14 ,3.80 ,2.63 ,43.55 ,1393455.00 ,0.22 ,24.42 ,191.00 ,30.00 ,5.00 ,35.00 ,3.50 ,3.00 ,49.20 ,100.00 ,91.20 ,122.77 ,14.24 ,20.56 ,52.01 
7.10 ,918.55 ,1070.15 ,1.53 ,1.07 ,0.80 ,72.42 ,150933.50 ,0.12 ,85.95 ,76.00 ,13.00 ,7.00 ,42.00 ,0.00 ,3.00 ,63.70 ,100.00 ,82.71 ,12.24 ,16.95 ,32.79 ,41.70 
33.34 ,236.35 ,143.91 ,2.27 ,1.58 ,4.72 ,-9.53 ,2175739.00 ,0.52 ,58.05 ,484.00 ,17.00 ,4.00 ,36.00 ,0.00 ,4.00 ,15.00 ,81.20 ,91.24 ,41.25 ,10.27 ,15.24 ,-9.49 
20.23 ,355.81 ,343.72 ,1.78 ,0.91 ,3.79 ,36.06 ,909148.50 ,0.21 ,100.57 ,379.00 ,10.00 ,6.00 ,37.00 ,13.50 ,5.00 ,53.80 ,43.70 ,71.36 ,75.01 ,15.95 ,27.94 ,13.77 
17.79 ,499.64 ,454.61 ,1.06 ,1.70 ,16.52 ,21.39 ,444397.50 ,0.28 ,53.79 ,131.00 ,1.00 ,4.00 ,35.00 ,0.50 ,3.00 ,43.00 ,95.90 ,97.64 ,25.55 ,11.48 ,23.83 ,62.18 
27.39 ,246.26 ,225.76 ,1.50 ,1.16 ,5.50 ,28.79 ,2561970.00 ,0.39 ,78.48 ,577.00 ,6.00 ,4.00 ,34.00 ,17.00 ,7.00 ,35.10 ,65.90 ,44.61 ,348.65 ,9.83 ,18.60 ,42.88 
26.00 ,272.81 ,217.49 ,1.27 ,1.52 ,6.39 ,6.95 ,1375533.00 ,0.34 ,60.37 ,314.00 ,26.00 ,4.00 ,36.00 ,2.50 ,6.00 ,27.30 ,94.10 ,75.01 ,60.79 ,12.33 ,15.98 ,-10.01 
19.71 ,338.69 ,356.13 ,0.93 ,1.39 ,10.69 ,26.09 ,1146047.00 ,0.25 ,66.48 ,253.00 ,4.00 ,6.00 ,35.00 ,0.00 ,3.00 ,30.70 ,73.90 ,82.23 ,122.41 ,7.95 ,14.09 ,25.60 
26.55 ,297.70 ,202.63 ,0.74 ,0.84 ,9.15 ,10.68 ,839663.50 ,0.29 ,109.14 ,109.00 ,3.00 ,5.00 ,35.00 ,0.00 ,3.00 ,17.60 ,72.90 ,75.21 ,20.42 ,3.40 ,7.91 ,28.46 
17.00 ,498.21 ,468.55 ,2.46 ,2.10 ,4.05 ,26.14 ,1092471.50 ,0.16 ,43.40 ,171.00 ,17.00 ,4.00 ,35.00 ,14.50 ,2.00 ,48.00 ,100.00 ,90.03 ,248.66 ,11.30 ,20.52 ,-4.64 
21.61 ,363.23 ,263.04 ,1.11 ,1.24 ,9.56 ,14.12 ,212691.50 ,0.38 ,73.52 ,96.00 ,2.00 ,5.00 ,35.00 ,3.50 ,4.00 ,32.30 ,45.50 ,33.93 ,16.21 ,13.36 ,18.26 ,68.44 
21.30 ,342.06 ,307.96 ,1.18 ,2.33 ,0.89 ,12.83 ,234577.50 ,0.20 ,41.08 ,122.00 ,14.00 ,3.00 ,32.00 ,8.50 ,2.00 ,41.10 ,94.30 ,24.42 ,42.08 ,11.92 ,21.53 ,19.82 
9.18 ,950.46 ,939.06 ,3.19 ,0.00 ,4.85 ,65.21 ,186704.00 ,0.21 ,0.00 ,178.00 ,8.00 ,4.00 ,34.00 ,3.50 ,3.00 ,14.70 ,100.00 ,42.93 ,30.92 ,33.93 ,47.17 ,41.83 
10.39 ,931.03 ,860.15 ,1.86 ,1.31 ,27.60 ,23.82 ,112800.00 ,0.12 ,70.43 ,124.00 ,5.00 ,3.00 ,33.00 ,7.00 ,2.00 ,46.00 ,79.50 ,41.99 ,16.75 ,21.57 ,38.35 ,0.23 
52.59 ,239.25 ,106.89 ,2.15 ,0.83 ,0.42 ,-9.58 ,1309988.00 ,0.11 ,110.43 ,861.00 ,8.00 ,7.00 ,36.00 ,58.00 ,21.00 ,41.90 ,100.00 ,62.73 ,0.08 ,52.17 ,115.58 ,-8.10 
30.38 ,256.11 ,215.54 ,1.40 ,1.40 ,2.95 ,7.94 ,3831760.00 ,0.19 ,65.37 ,634.00 ,58.00 ,3.00 ,34.00 ,19.00 ,25.00 ,34.35 ,99.70 ,95.08 ,48.29 ,24.93 ,32.25 ,35.96 
16.30 ,379.78 ,369.05 ,1.69 ,1.63 ,1.43 ,11.95 ,1305137.00 ,0.19 ,56.17 ,562.00 ,6.00 ,6.00 ,36.00 ,9.00 ,20.00 ,24.05 ,28.70 ,49.88 ,66.35 ,17.14 ,25.35 ,52.27 
17.08 ,418.25 ,416.16 ,2.83 ,0.84 ,7.98 ,-7.86 ,1704969.00 ,0.25 ,109.97 ,318.00 ,2.00 ,5.00 ,37.00 ,2.00 ,9.50 ,28.80 ,100.00 ,52.23 ,76.97 ,7.11 ,12.05 ,119.62 
12.32 ,419.23 ,415.50 ,1.51 ,1.36 ,9.24 ,26.87 ,1053605.00 ,0.15 ,67.47 ,532.00 ,7.00 ,5.00 ,36.00 ,4.00 ,5.50 ,36.50 ,36.50 ,32.90 ,89.80 ,16.60 ,29.25 ,83.72 
39.72 ,175.62 ,180.17 ,0.93 ,2.17 ,4.90 ,10.06 ,7998262.00 ,0.24 ,42.08 ,1268.00 ,9.00 ,4.00 ,34.00 ,41.00 ,8.00 ,26.55 ,83.30 ,73.30 ,759.05 ,10.31 ,14.02 ,95.16 
20.43 ,251.69 ,255.56 ,1.38 ,2.13 ,1.56 ,21.15 ,1448630.00 ,0.19 ,42.91 ,738.00 ,8.00 ,5.00 ,36.00 ,10.00 ,10.00 ,35.80 ,72.10 ,42.58 ,149.55 ,21.58 ,32.07 ,33.40 
