ID	INDEX1	STAGE
6	1	90
6	2	140
6	3	130
6	4	110
6	5	195
6	6	105
6	7	135
6	8	180
6	9	170
6	10	160
6	11	299
10	1	90
10	2	180
10	3	130
10	4	140
10	5	195
10	6	120
10	7	125
10	8	105
10	9	150
10	10	110
10	11	170
10	12	160
10	13	299
16	1	90
16	2	130
16	3	125
16	4	170
16	5	299
85	1	90
85	2	120
85	3	135
85	4	115
85	5	195
85	6	125
85	7	299
120	1	90
120	2	160
120	3	299
161	1	90
161	2	160
161	3	299
188	1	90
188	2	125
188	3	160
188	4	299
197	1	90
197	2	130
197	3	125
197	4	125
197	5	299
209	1	90
209	2	150
209	3	185
209	4	105
209	5	130
209	6	125
209	7	180
209	8	110
209	9	120
209	10	165
209	11	299
236	1	90
236	2	110
236	3	195
236	4	180
236	5	125
236	6	145
236	7	190
236	8	299
242	1	90
242	2	195
242	3	130
242	4	140
242	5	125
242	6	110
242	7	180
242	8	120
242	9	150
242	10	170
242	11	145
242	12	175
242	13	160
242	14	299
274	1	90
274	2	170
274	3	125
274	4	125
274	5	180
274	6	120
274	7	150
274	8	115
274	9	110
274	10	165
274	11	105
274	12	160
274	13	299
282	1	90
282	2	110
282	3	140
282	4	105
282	5	180
282	6	115
282	7	135
282	8	160
282	9	299
289	1	90
289	2	130
289	3	195
289	4	180
289	5	125
289	6	120
289	7	115
289	8	110
289	9	170
289	10	140
289	11	150
289	12	160
289	13	299
293	1	90
293	2	110
293	3	125
293	4	195
293	5	299
314	1	90
314	2	160
314	3	299
319	1	90
319	2	165
319	3	170
319	4	195
319	5	180
319	6	115
319	7	125
319	8	125
319	9	299
332	1	90
332	2	125
332	3	125
332	4	180
332	5	160
332	6	299
408	1	90
408	2	170
408	3	195
408	4	130
408	5	150
408	6	110
408	7	140
408	8	160
408	9	299
440	1	90
440	2	105
440	3	195
440	4	185
440	5	160
440	6	299
512	1	90
512	2	160
512	3	299
524	1	175
524	2	110
524	3	195
524	4	130
524	5	180
524	6	115
524	7	125
524	8	140
524	9	105
524	10	150
524	11	120
524	12	160
524	13	299
530	1	90
530	2	155
530	3	110
530	4	175
530	5	180
530	6	195
530	7	120
530	8	170
530	9	125
530	10	140
530	11	299
558	1	90
558	2	160
558	3	299
569	1	90
569	2	180
569	3	165
569	4	110
569	5	130
569	6	170
569	7	115
569	8	195
569	9	125
569	10	125
569	11	150
569	12	160
569	13	299
619	1	90
619	2	160
619	3	299
620	1	90
620	2	195
620	3	110
620	4	160
620	5	299
633	1	90
633	2	195
633	3	160
633	4	299
659	1	90
659	2	180
659	3	110
659	4	140
659	5	105
659	6	130
659	7	120
659	8	160
659	9	299
669	1	90
669	2	170
669	3	130
669	4	110
669	5	180
669	6	125
669	7	125
669	8	150
669	9	160
669	10	299
675	1	90
675	2	110
675	3	115
675	4	125
675	5	125
675	6	180
675	7	170
675	8	195
675	9	190
675	10	130
675	11	150
675	12	140
675	13	160
675	14	299
679	1	90
679	2	140
679	3	155
679	4	160
679	5	299
690	1	90
690	2	180
690	3	160
690	4	299
696	1	90
696	2	160
696	3	299
697	1	90
697	2	160
697	3	299
698	1	90
698	2	175
698	3	110
698	4	180
698	5	120
698	6	105
698	7	125
698	8	115
698	9	155
698	10	170
698	11	160
698	12	299
701	1	90
701	2	125
701	3	125
701	4	180
701	5	110
701	6	105
701	7	195
701	8	160
701	9	299
734	1	90
734	2	110
734	3	180
734	4	125
734	5	125
734	6	150
734	7	160
734	8	299
