A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,B1,B2,B3,B4,B5,C1,C2,C3,C4,D1,D2,D3,D4,D5,ROE,EPS
56.22,192.38,134.23,2.06,0.915,0.405,-12.735,1299017,0.11,99.85,861,8,7,36,59.5,21,43.9,100,63.59,0,49.14,109.305,-25.895,0.069,-13.94,-1.16
34.58,254.035,202.515,1.49,1.455,3.52,2.235,5110452,0.24,62.625,634,58,3,34,18.5,25,33.4,99.5,91.12,0,22.4,28.255,38.47,0.337,2.52,0.52
17.315,398.56,341.48,1.6,1.725,1.48,39.18,1369489,0.195,52.76,562,6,6,36,18,19,14.4,29.3,48.04,55.2,16.875,23.745,30.64,0.243,2.09,0.35
16.195,461.2,455.365,2.61,0.805,6.51,13.755,1414918,0.21,113.8,318,2,5,37,6,9,26.1,100,49.995,33.367,7.64,12.515,44.16,0.626,4.72,1.16
11.905,385.465,409.295,1.445,1.425,9.195,9.535,1050400,0.145,64.965,532,7,5,36,4,6,38.5,38.5,37.66,110.39,15.875,28.835,97,0.615,1.97,0.62
37.725,179.805,183.8,0.96,2.215,4.725,7.275,7921182,0.25,41.315,1268,9,4,34,48.5,8,28.7,80.3,74.625,709.152,10.505,14.15,42.51,0.461,5.66,2.01
19.73,255.425,253.505,1.5,2.14,1.555,16.475,1476463,0.195,42.565,738,8,5,36,14,10,38.8,67.7,44.615,170.76,21.69,32.18,7.48,0.183,3.29,0.58
17.95,347.23,392.27,3.14,3.795,2.625,43.55,1393455,0.215,24.42,191,30,5,35,3.5,3,49.2,100,91.195,122.773,14.24,20.555,52.005,0.408,5.87,1.12
7.095,918.545,1070.15,1.53,1.07,0.8,72.415,150933.5,0.115,85.95,76,13,7,42,0,3,63.7,100,82.71,12.238,16.95,32.785,41.695,0.615,3.18,0.53
33.34,236.345,143.91,2.265,1.575,4.715,-9.53,2175739,0.52,58.045,484,17,4,36,0,4,15,81.2,91.235,41.254,10.265,15.24,-9.485,1,3.97,0.86
20.23,355.805,343.715,1.78,0.905,3.785,36.06,909148.5,0.205,100.565,379,10,6,37,13.5,5,53.8,43.7,71.36,75.009,15.95,27.935,13.765,0.348,5.31,0.86
17.79,499.635,454.605,1.06,1.7,16.515,21.39,444397.5,0.28,53.79,131,1,4,35,0.5,3,43,95.9,97.635,25.548,11.475,23.83,62.175,1,3.84,0.74
27.385,246.255,225.76,1.495,1.16,5.495,28.785,2561970,0.39,78.475,577,6,4,34,17,7,35.1,65.9,44.61,348.647,9.83,18.6,42.875,0.549,9.78,3.69
26,272.805,217.49,1.265,1.52,6.385,6.945,1375533,0.34,60.37,314,26,4,36,2.5,6,27.3,94.1,75.005,60.786,12.33,15.98,-10.005,0.559,4.28,1.16
19.705,338.69,356.125,0.925,1.385,10.685,26.09,1146047,0.25,66.475,253,4,6,35,0,3,30.7,73.9,82.23,122.411,7.95,14.085,25.6,1,6.05,2.78
26.55,297.7,202.63,0.735,0.835,9.145,10.68,839663.5,0.285,109.135,109,3,5,35,0,3,17.6,72.9,75.205,20.424,3.395,7.91,28.46,1,2.43,0.4
