ID	INDEX1	STAGE
1	1	90
1	2	170
1	3	110
1	4	150
1	5	120
1	6	125
1	7	180
1	8	195
1	9	210
2	1	90
2	2	110
2	3	105
2	4	180
2	5	125
2	6	140
2	7	195
2	8	130
2	9	210
3	1	90
3	2	190
3	3	195
3	4	165
3	5	210
4	1	90
4	2	180
4	3	110
4	4	125
4	5	125
4	6	120
4	7	170
4	8	210
5	1	90
5	2	140
5	3	110
5	4	180
5	5	210
6	1	90
6	2	140
6	3	130
6	4	110
6	5	195
6	6	105
6	7	135
6	8	180
6	9	170
6	10	160
6	11	299
7	1	90
7	2	110
7	3	105
7	4	125
7	5	195
7	6	130
7	7	210
8	1	90
8	2	180
8	3	195
8	4	125
8	5	110
8	6	150
8	7	120
8	8	115
8	9	210
9	1	90
9	2	110
9	3	125
9	4	125
9	5	150
9	6	170
9	7	105
9	8	195
9	9	190
9	10	115
9	11	140
9	12	135
9	13	120
9	14	210
10	1	90
10	2	180
10	3	130
10	4	140
10	5	195
10	6	120
10	7	125
10	8	105
10	9	150
10	10	110
10	11	170
10	12	160
10	13	299
11	1	90
11	2	180
11	3	195
11	4	135
11	5	185
11	6	150
11	7	125
11	8	125
11	9	210
12	1	90
12	2	120
12	3	110
12	4	180
12	5	195
12	6	105
12	7	125
12	8	210
13	1	90
13	2	140
13	3	125
13	4	125
13	5	110
13	6	120
13	7	130
13	8	105
13	9	210
14	1	90
14	2	180
14	3	170
14	4	195
14	5	110
14	6	115
14	7	210
15	1	90
15	2	125
15	3	110
15	4	185
15	5	105
15	6	180
15	7	195
15	8	210
16	1	90
16	2	130
16	3	125
16	4	170
16	5	299
17	1	90
17	2	110
17	3	175
17	4	145
17	5	120
17	6	180
17	7	140
17	8	195
17	9	125
17	10	125
17	11	150
17	12	115
17	13	130
17	14	210
18	1	90
18	2	125
18	3	125
18	4	210
19	1	90
19	2	110
19	3	140
19	4	180
19	5	125
19	6	185
19	7	170
19	8	210
20	1	90
20	2	125
20	3	180
20	4	190
20	5	210
21	1	90
21	2	105
21	3	110
21	4	125
21	5	190
21	6	195
21	7	155
21	8	140
21	9	210
22	1	90
22	2	120
22	3	190
22	4	140
22	5	180
22	6	110
22	7	170
22	8	125
22	9	210
23	1	90
23	2	190
23	3	195
23	4	110
23	5	180
23	6	130
23	7	210
24	1	90
24	2	125
24	3	180
24	4	110
24	5	150
24	6	170
24	7	130
24	8	185
24	9	195
24	10	120
24	11	140
24	12	105
24	13	145
24	14	210
25	1	175
25	2	195
25	3	165
25	4	170
25	5	125
25	6	125
25	7	120
25	8	180
25	9	105
25	10	140
25	11	150
25	12	190
25	13	210
26	1	90
26	2	125
26	3	125
26	4	130
26	5	105
26	6	110
26	7	185
26	8	210
27	1	90
27	2	125
27	3	120
27	4	170
27	5	195
27	6	180
27	7	155
27	8	105
27	9	110
27	10	210
28	1	90
28	2	210
29	1	90
29	2	125
29	3	125
29	4	180
29	5	155
29	6	110
29	7	195
29	8	175
29	9	150
29	10	120
29	11	105
29	12	145
29	13	170
29	14	210
30	1	90
30	2	125
30	3	125
30	4	105
30	5	210
31	1	90
31	2	195
31	3	180
31	4	110
31	5	210
32	1	90
32	2	110
32	3	125
32	4	195
32	5	180
32	6	150
32	7	130
32	8	190
32	9	135
32	10	140
32	11	115
32	12	170
32	13	120
32	14	210
33	1	90
33	2	150
33	3	180
33	4	125
33	5	210
34	1	90
34	2	185
34	3	125
34	4	125
34	5	170
34	6	120
34	7	130
34	8	110
34	9	210
35	1	90
35	2	125
35	3	125
35	4	195
35	5	170
35	6	180
35	7	150
35	8	110
35	9	185
35	10	105
35	11	175
35	12	190
35	13	135
35	14	210
36	1	90
36	2	125
36	3	195
36	4	130
36	5	170
36	6	180
36	7	150
36	8	110
36	9	115
36	10	210
37	1	90
37	2	195
37	3	110
37	4	125
37	5	125
37	6	135
37	7	175
37	8	115
37	9	145
37	10	140
37	11	170
37	12	105
37	13	120
37	14	210
38	1	90
38	2	180
38	3	110
38	4	195
38	5	170
38	6	150
38	7	105
38	8	125
38	9	125
38	10	130
38	11	135
38	12	140
38	13	210
39	1	90
39	2	110
39	3	125
39	4	125
39	5	180
39	6	195
39	7	170
39	8	120
39	9	210
40	1	90
40	2	125
40	3	180
40	4	195
40	5	110
40	6	130
40	7	145
40	8	120
40	9	105
40	10	155
40	11	210
41	1	90
41	2	115
41	3	110
41	4	210
42	1	90
42	2	180
42	3	165
42	4	125
42	5	150
42	6	110
42	7	140
42	8	115
42	9	120
42	10	210
43	1	90
43	2	125
43	3	125
43	4	105
43	5	195
43	6	180
43	7	130
43	8	110
43	9	140
43	10	150
43	11	120
43	12	210
44	1	90
44	2	105
44	3	115
44	4	140
44	5	170
44	6	125
44	7	210
45	1	90
45	2	180
45	3	210
46	1	90
46	2	130
46	3	110
46	4	180
46	5	140
46	6	185
46	7	210
47	1	90
47	2	180
47	3	210
48	1	90
48	2	210
49	1	90
49	2	130
49	3	110
49	4	170
49	5	105
49	6	210
50	1	90
50	2	150
50	3	180
50	4	195
50	5	125
50	6	190
50	7	110
50	8	170
50	9	130
50	10	185
50	11	210
51	1	90
51	2	110
51	3	105
51	4	180
51	5	125
51	6	125
51	7	120
51	8	140
51	9	210
52	1	90
52	2	125
52	3	125
52	4	195
52	5	190
52	6	165
52	7	120
52	8	110
52	9	105
52	10	175
52	11	210
53	1	90
53	2	125
53	3	145
53	4	110
53	5	140
53	6	195
53	7	165
53	8	180
53	9	210
54	1	90
54	2	170
54	3	195
54	4	110
54	5	210
55	1	90
55	2	180
55	3	115
55	4	110
55	5	210
56	1	90
56	2	180
56	3	120
56	4	190
56	5	125
56	6	125
56	7	140
56	8	110
56	9	210
57	1	90
57	2	195
57	3	110
57	4	125
57	5	125
57	6	115
57	7	150
57	8	145
57	9	210
58	1	90
58	2	170
58	3	210
59	1	90
59	2	105
59	3	130
59	4	125
59	5	155
59	6	180
59	7	195
59	8	210
60	1	90
60	2	110
60	3	210
61	1	90
61	2	120
61	3	180
61	4	210
62	1	90
62	2	150
62	3	180
62	4	210
63	1	90
63	2	125
63	3	125
63	4	130
63	5	150
63	6	195
63	7	170
63	8	140
