Height,Weight,Waist,Gender
180,78,42,1
170,54,32,1
171,59,33,1
168,62,34,1
187,65,30,1
174,76,34,1
171,67,32,1
170,63,31,1
165,57,30,1
178,75,33,1
172,74,33,1
174,61,31,1
163,47,25,2
155,45,24,2
165,60,29,1
190,88,33,1
174,72,34,1
183,68,33,1
166,50,27,2
170,63,30,1
165,50,27,2
158,47,27,2
176,89,34,1
160,51,26,2
174,72,32,1
168,59,28,1
170,65,31,1
179,95,36,1
159,53,28,2
158,45,24,2
161,49,27,2
163,43,26,2
161,48,26,2
165,45,24,2
183,72,31,1
168,52,28,2
173,60,30,1
170,75,32,1
176,62,31,1
175,67,32,1
172,54,29,1
163,54,26,2
165,49.5,26,2
156,49,25,2
160,46,24,2
155,37,24,2
158,53,27,2
162,48,27,2
176,69,30,1
176,70,33,1
157,48,26,2
156,44,24,2
161,44,25,2
153,43,28,2
167,54,25,2
164,46,23,2
163,53,26,2
155,48,24,2
161,48,27,2
190,89,36,1
188,90,36,1
178,68,32,1
172,60,30,1
169,52,27,1
175,61,31,1
173,68,36,1
160,50,25,2
165,64,28,1
157,56,26,2
162,52,26,2
169,66,28,2
155,46,26,2
162,68,33,1
172,67,32,1
177,62,30,1
172,62,30,1
186,90,36,1
179,72,30,1
163,46,23,2
163,50,25,2
168,57,26,2
159,55,28,2
154,53,27,2
153,52,29,2
158,50,26,2
155,45,26,2
170,55,30,1
168,54,28,1
172,58,28,1
182,63,30,1
171,63,30,1
170,74,34,1
174,54,29,1
185,70,30,1
160,43,24,2
162,44,23,2
180,71,30,1
156,46,25,2
166,46,28,1
177,84,35,1
175,67,33,1
181,85,33,1
163,54,28,1
167,48,25,2
174,63,29,1
180,73,31,1
165,60,34,1
172,57,27,1
166,55,27,2
178,60,30,1
173,74,32,1
170,68,30,1
168,49,25,2
184,71,30,1
168,60,27,1
176,70,27,2
177,70,27,1
172,72,32,1
165,78,37,1
161,52,27,2
160,48,25,2
165,50,26,2
176,92,38,1
178,94,38,1
174,70,33,1
182,65,30,1
170,72,32,1
161,65,30,1
165,49,27,2
165,57,29,1
158,47,27,2
179,67,31,1
185,85,33,1
173,68,32,1
177,85,35,1
178,75,33,1
174,76,32,1
177,60,32,1
177,78,34,1
167,95,42,1
175,64,29,1
